Customer ID,Customer Segmentation,Seasonal Trends,Delivery Time,Number of Items Purchased
1,Loyal,Christmas present,4,1
2,Loyal,Christmas present,15,7
3,New,Summer preperation,8,3
4,New,Christmas present,2,9
5,Loyal,Pre-fall shopping,20,2
6,VIP,Christmas present,23,4
7,Loyal,Christmas present,24,4
8,New,Summer preperation,5,8
9,Loyal,Back to school,3,6
10,New,Summer preperation,24,7
11,Loyal,Back to school,29,3
12,New,Summer preperation,15,5
13,Loyal,Christmas present,23,4
14,New,Christmas present,26,3
15,Loyal,Pre-fall shopping,9,6
16,New,Back to school,14,1
17,New,Pre-fall shopping,8,9
18,VIP,Pre-fall shopping,19,2
19,Loyal,Back to school,15,3
20,New,Summer preperation,25,4
21,VIP,Back to school,2,7
22,VIP,Back to school,27,6
23,Loyal,Pre-fall shopping,24,8
24,New,Pre-fall shopping,9,3
25,New,Pre-fall shopping,23,1
26,VIP,Summer preperation,18,5
27,VIP,Summer preperation,24,7
28,New,Christmas present,27,4
29,Loyal,Summer preperation,18,1
30,VIP,Summer preperation,9,4
31,New,Pre-fall shopping,5,2
32,VIP,Pre-fall shopping,26,6
33,VIP,Pre-fall shopping,4,6
34,New,Christmas present,6,2
35,VIP,Pre-fall shopping,25,1
36,Loyal,Back to school,24,6
37,VIP,Summer preperation,19,1
38,New,Summer preperation,19,8
39,New,Pre-fall shopping,7,8
40,VIP,Back to school,28,2
41,Loyal,Summer preperation,2,5
42,New,Back to school,30,3
43,VIP,Summer preperation,20,8
44,Loyal,Christmas present,22,8
45,Loyal,Back to school,12,7
46,New,Pre-fall shopping,14,1
47,VIP,Back to school,29,4
48,New,Back to school,28,9
49,New,Pre-fall shopping,9,1
50,VIP,Christmas present,26,8
51,Loyal,Summer preperation,12,4
52,Loyal,Christmas present,17,9
53,New,Summer preperation,15,9
54,New,Back to school,17,9
55,VIP,Back to school,5,2
56,VIP,Christmas present,15,9
57,New,Summer preperation,4,3
58,New,Summer preperation,2,4
59,Loyal,Back to school,13,3
60,Loyal,Back to school,16,5
61,Loyal,Christmas present,16,3
62,Loyal,Pre-fall shopping,28,5
63,Loyal,Pre-fall shopping,10,2
64,New,Christmas present,29,8
65,Loyal,Back to school,26,6
66,New,Pre-fall shopping,25,6
67,VIP,Back to school,24,3
68,VIP,Summer preperation,4,8
69,Loyal,Christmas present,3,3
70,VIP,Christmas present,9,4
71,New,Pre-fall shopping,2,3
72,VIP,Back to school,25,4
73,New,Summer preperation,8,6
74,VIP,Pre-fall shopping,27,7
75,VIP,Pre-fall shopping,29,6
76,VIP,Pre-fall shopping,7,5
77,VIP,Christmas present,8,6
78,VIP,Back to school,30,1
79,VIP,Summer preperation,17,1
80,Loyal,Back to school,28,7
81,New,Pre-fall shopping,27,9
82,VIP,Back to school,24,4
83,VIP,Summer preperation,24,2
84,VIP,Pre-fall shopping,29,4
85,VIP,Summer preperation,20,5
86,New,Back to school,17,7
87,VIP,Christmas present,13,1
88,Loyal,Summer preperation,12,6
89,Loyal,Christmas present,3,8
90,New,Christmas present,23,4
91,VIP,Back to school,30,6
92,Loyal,Summer preperation,8,9
93,VIP,Christmas present,13,9
94,Loyal,Back to school,25,1
95,VIP,Pre-fall shopping,19,4
96,New,Pre-fall shopping,26,2
97,New,Summer preperation,3,4
98,VIP,Christmas present,28,1
99,VIP,Pre-fall shopping,22,1
100,Loyal,Summer preperation,30,4
101,VIP,Summer preperation,3,9
102,Loyal,Pre-fall shopping,6,4
103,New,Summer preperation,6,1
104,VIP,Pre-fall shopping,23,2
105,New,Christmas present,10,7
106,VIP,Back to school,5,6
107,VIP,Summer preperation,6,8
108,New,Pre-fall shopping,5,3
109,Loyal,Back to school,25,6
110,Loyal,Pre-fall shopping,12,1
111,New,Pre-fall shopping,24,6
112,VIP,Pre-fall shopping,14,7
113,Loyal,Summer preperation,21,8
114,New,Pre-fall shopping,16,4
115,New,Back to school,24,9
116,VIP,Christmas present,16,5
117,Loyal,Pre-fall shopping,17,7
118,VIP,Christmas present,17,7
119,VIP,Back to school,24,7
120,New,Summer preperation,22,2
121,Loyal,Summer preperation,16,2
122,VIP,Summer preperation,4,7
123,Loyal,Christmas present,10,1
124,Loyal,Pre-fall shopping,26,8
125,Loyal,Summer preperation,10,5
126,New,Christmas present,21,5
127,VIP,Christmas present,20,2
128,Loyal,Summer preperation,18,7
129,New,Back to school,11,8
130,VIP,Back to school,8,5
131,New,Pre-fall shopping,20,7
132,VIP,Back to school,2,3
133,New,Christmas present,26,8
134,Loyal,Christmas present,4,8
135,VIP,Pre-fall shopping,28,1
136,New,Summer preperation,23,8
137,VIP,Christmas present,22,4
138,Loyal,Summer preperation,11,6
139,New,Pre-fall shopping,6,3
140,New,Back to school,21,4
